"","Top","p.value","FDR","summary.logFC","logFC.1","logFC.3","logFC.4","logFC.5"
"Nxn",549,3.79366141773646e-05,0.000793424561429606,0.709894673513174,-0.0879866438531873,0.131378285025383,0.216407655429627,0.709894673513174
"Psmg4",549,1,1,-0.516982784319925,-0.160544543281341,-0.428868920121755,-0.516982784319925,0.0617918726675413
"Siva1",549,9.62301485094122e-09,2.22206977046251e-07,0.682101973443282,0.194429428264715,0.682101973443282,0.185430385779048,0.284837496596875
"Eef1b2",550,1,1,0.0403233525116926,0.0403233525116926,-0.299003662450216,-0.188837517763187,0.28234213123906
"Maged2",550,4.22412820325899e-05,0.000881740669857775,-0.742554514444943,-0.00723924830746731,-0.0543820398085073,0.0360979800950378,-0.742554514444943
"Gpr1",551,1,1,0.000333964157826448,0.000333964157826448,0.000333964157826448,0.000333964157826448,0.000333964157826448
"Sfrp1",551,5.35072448269567e-05,0.00111474290021388,-0.842639093565791,-0.010530223986515,-0.00651204506643886,-0.00716720014062727,-0.842639093565791
"Gm11608",552,1,1,0.000286276057247048,0.000286276057247048,0.000286276057247048,0.000286276057247048,0.000286276057247048
"Frrs1",552,1,1,-0.519556870546729,-0.0950128271539469,-0.477125415251032,-0.519556870546729,-0.239548478886059
"Chaf1b",552,1.14376806455173e-08,2.62981116636942e-07,0.674071693898786,-0.140637815798928,0.674071693898786,0.0231222379186582,0.302817539863963
"Zdbf2",553,1,1,-0.0117176209444364,-0.0117176209444364,0.0418844065334538,0.033998944259055,0.111287510937515
"Ckap2l",553,1.89782668629452e-08,4.34964090689502e-07,0.667509297579592,-0.0225576213478739,0.667509297579592,0.171371310055833,0.123388943380722
"Sdhb",553,5.8881007979327e-05,0.00122551080534148,0.729107364565743,0.191417205350579,0.134901047949425,0.209328146089863,0.729107364565743
"Tmem120a",553,0.216673147181558,1,-0.611437503211677,-0.278075377237421,-0.611437503211677,-0.515576948552308,-0.402010269711211
"Adam23",554,1,1,-0.0138104099532425,-0.0138104099532425,-0.0172300743208195,-0.0160916495259054,-0.128648453711125
"Klf7",554,6.57458152205632e-05,0.00136574873490515,-0.750149854301151,0.0583389520583036,0.0830549833561641,-0.0160566959856281,-0.750149854301151
"Impdh2",554,2.94375160542932e-08,6.71818433726877e-07,0.670046583866756,0.15435067547627,0.670046583866756,0.445605024304491,0.385353408373736
"Mdh1b",555,1,1,0.000655507376001738,0.000655507376001738,0.000204104035487711,0.000534663206415361,0.000655507376001738
"Hist1h1a",555,0.00250078668446498,0.0481821219663122,0.630155265581557,0.14978118621073,0.630155265581557,0.521632149917244,0.459909044716984
"Fastkd2",556,1,1,-0.0401117869527375,-0.0401117869527375,0.147684290106691,0.0581765021032898,0.319557646568883
"Atic",556,7.65692652413592e-05,0.00158905222493664,0.750858668784548,-0.065529161650153,0.212850016509068,0.193826675040569,0.750858668784548
"Caprin1",556,1,1,0.59223217507573,0.0790136332089362,0.59223217507573,0.526416344593585,0.527172747174752
"4933402D24Rik",557,1,1,-0.000175313579533766,-0.000175313579533766,0,-0.000272749627551537,0
"Rhobtb3",557,8.33254265960415e-05,0.00172593503924293,0.737482862877825,0.284978271952033,0.513408516204516,0.443297751393525,0.737482862877825
"Atp6v0e",557,1.14923318026999e-07,2.59796715048219e-06,-0.664255136050903,-0.299054366650797,-0.664255136050903,-0.522354314845532,-0.614236923582358
