"","Top","p.value","FDR","summary.AUC","AUC.2","AUC.3","AUC.4","AUC.5"
"Mpv17l2",11763,1,1,0.472818500963943,0.472818500963943,0.516603184323331,0.48195317096129,0.495083989048124
"Pik3r2",11764,1,1,0.539238050338292,0.539238050338292,0.491938409199156,0.487153368499028,0.52193828469944
"2010320M18Rik",11765,1,1,0.472787660411563,0.472787660411563,0.450198611961625,0.459267966902486,0.459095730248391
"Mast3",11766,1,1,0.501304395410118,0.501304395410118,0.510738259508743,0.492457820224086,0.496544732493032
"Il12rb1",11767,1,1,0.494078136882663,0.494078136882663,0.499714390691978,0.500634623128819,0.501442819203605
"Arrdc2",11768,1,1,0.496409418856234,0.496409418856234,0.501314036878274,0.496603974949828,0.502982659529859
"Kcnn1",11769,1,1,0.50025604112822,0.50025604112822,0.498506307409676,0.498994496452772,0.497091504074065
"Ccdc124",11770,1,1,0.500378336967411,0.500378336967411,0.570969109342043,0.590770463467947,0.540167895874958
"Slc5a5",11771,1,1,0.5003070585297,0.5003070585297,0.499473293869497,0.500884660830023,0.500625704019799
"Rpl18a",11772,1,1,0.495687261645185,0.495687261645185,0.301666898006396,0.379810681952641,0.586439900347796
"Map1s",11773,1,1,0.499920471223435,0.499920471223435,0.575312485541267,0.554854539639295,0.58879981582431
"Gm35256",11774,1,1,0.499517467426596,0.499517467426596,0.500201034224672,0.500033939369835,0.500562393626206
"Myo9b",11776,1,1,0.528936660408757,0.528936660408757,0.496212451520719,0.450233962902015,0.404048411895776
"Ocel1",11778,1,1,0.525430490895162,0.525430490895162,0.489784323331292,0.488518367529569,0.486767634411254
"Ushbp1",11780,1,1,0.500021159032297,0.500021159032297,0.50003470095938,0.499940026084262,0.500469483568075
"Babam1",11781,1,1,0.482570401488429,0.482570401488429,0.496191181873852,0.468386189593142,0.513288769393947
"Ankle1",11782,1,1,0.519060359366801,0.519060359366801,0.574705273185004,0.529287455525008,0.526286475419945
"Abhd8",11783,1,1,0.380687556300144,0.380687556300144,0.583041505069062,0.576434228384781,0.423100235975103
"Ano8",11786,1,1,0.488918981111214,0.488918981111214,0.517010546370007,0.513471941189436,0.515437540596762
"Gtpbp3",11787,1,1,0.514911336919705,0.514911336919705,0.550693828672518,0.516823023089709,0.542328835828749
"Plvap",11788,1,1,0.502897075619687,0.502897075619687,0.502059481526842,0.501033493584166,0.497797456073276
"C430049E01Rik",11789,1,1,0.4998505678422,0.4998505678422,0.5,0.5,0.5
"Bst2",11790,1,1,0.572417573783005,0.572417573783005,0.493744614547186,0.488094456845793,0.517718359191929
"Mvb12a",11791,1,1,0.478531495808884,0.478531495808884,0.472219378104375,0.474200925046692,0.502195472895752
"Tmem221",11792,1,1,0.500281690140845,0.500281690140845,0.499701979995918,0.500016953112959,0.500281690140845
"Nxnl1",11793,1,1,0.5,0.5,0.499782608695652,0.5,0.499124343257443
"Fam129c",11795,1,1,0.500255648254941,0.500255648254941,0.496116118935837,0.495202915338839,0.499717652088832
"Unc13a",11797,1,1,0.499128270319266,0.499128270319266,0.500592733210859,0.501065510606882,0.501007539692328
"Jak3",11798,1,1,0.498624690963073,0.498624690963073,0.500009702660407,0.500431931511412,0.496056995798492
"B3gnt3",11799,1,1,0.500320051410275,0.500320051410275,0.500469415526978,0.50020474654019,0.49521472089983
"Fcho1",11800,1,1,0.50003836126943,0.50003836126943,0.500042865890998,0.499923056399344,0.498436151056955
"Gm35572",11801,1,1,0.500281690140845,0.500281690140845,0.500064312444717,0.499752232657032,0.500281690140845
"Zfp709",11802,1,1,0.498975779362367,0.498975779362367,0.497754208341838,0.493914561613711,0.481919373802652
"Zfp882",11803,1,1,0.498548333235115,0.498548333235115,0.508861944614547,0.503896166740412,0.504707991087212
"Zfp617",11804,1,1,0.513186342602336,0.513186342602336,0.494786963325849,0.46915521130075,0.553545957590258
"Zfp961",11805,1,1,0.492448751083909,0.492448751083909,0.528295271143771,0.498102361669724,0.506134037147579
"Cyp4f18",11806,1,1,0.499982825825244,0.499982825825244,0.500281690140845,0.500105198788921,0.499406033398288
"Olfr373",11807,1,1,0.499645600240214,0.499645600240214,0.500021432945499,0.499829143113771,0.500093896713615
"Olfr374",11808,1,1,0.50018779342723,0.50018779342723,0.500115329659114,0.500011302075306,0.50018779342723
"Gm26586",11810,1,1,0.499735455971534,0.499735455971534,0.499751513914404,0.498490012909555,0.496592091956291
"Rab8a",11811,1,1,0.490688201734816,0.490688201734816,0.506853425869225,0.497978254276808,0.440140927291713
"Hsh2d",11812,1,1,0.49907444668008,0.49907444668008,0.500300156494523,0.500697066266288,0.49956389827582
"Cib3",11813,1,1,0.500132257983045,0.500132257983045,0.499846907532149,0.500193394749009,0.499406033398288
"Fam32a",11814,1,1,0.533547280895976,0.533547280895976,0.468996216915017,0.492690374509677,0.547152430050237
"Ap1m1",11815,1,1,0.492514529295719,0.492514529295719,0.505379614887392,0.448549141655439,0.503076391800893
"Gm10282",11816,1,1,0.475072330776851,0.475072330776851,0.511571667687283,0.501904035106036,0.508521907862822
"Eps15l1",11818,1,1,0.486195695792608,0.486195695792608,0.524697394025992,0.496151079911638,0.510206128774985
"Calr3",11819,1,1,0.561463901961279,0.561463901961279,0.512844866299245,0.517964946994593,0.557851722124927
"1700030K09Rik",11820,1,1,0.50181254893377,0.50181254893377,0.501236333945703,0.482668151514097,0.504266298315286
"Cherp",11821,1,1,0.520676780347356,0.520676780347356,0.592684983329931,0.519306513276624,0.563169137416443
"Slc35e1",11822,1,1,0.503950930127487,0.503950930127487,0.553025079948289,0.504445742581149,0.428308132507832
"Gm17435",11823,1,1,0.49263225096745,0.49263225096745,0.496946764645846,0.49369975589506,0.492516875919851
